provider,plan_name,region,country,data_gb,validity_days,price,product_url,direction,voice_type,calls_included,sms_included,number_country,full_speed_gb,full_speed_period,post_cap_speed,hotspot,source_url,timestamp
O2,Big Bundle 50GB,Europe,UK,50,30,20,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,inbound,native,unlimited,unlimited,UK,,,,,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,2026-09-04T00:00:00Z
O2,Big Bundle 150GB,Europe,UK,150,30,30,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,inbound,native,unlimited,unlimited,UK,,,,,https://www.o2.co.uk/shop/sim-cards/pay-as-you-go,2026-09-04T00:00:00Z
giffgaff,Goodybag 1GB,Europe,UK,1,30,6,https://www.giffgaff.com/sim-only-deals,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only-deals,2026-09-04T00:00:00Z
giffgaff,Goodybag 4GB,Europe,UK,4,30,8,https://www.giffgaff.com/sim-only-deals,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only-deals,2026-09-04T00:00:00Z
giffgaff,Goodybag 15GB,Europe,UK,15,30,10,https://www.giffgaff.com/sim-only/deals/payg-plans/10pound-goodybag,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only/deals/payg-plans/10pound-goodybag,2026-09-04T00:00:00Z
giffgaff,Goodybag 25GB,Europe,UK,25,30,12,https://www.giffgaff.com/sim-only-deals,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only-deals,2026-09-04T00:00:00Z
giffgaff,Goodybag 30GB,Europe,UK,30,30,15,https://www.giffgaff.com/sim-only-deals,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only-deals,2026-09-04T00:00:00Z
giffgaff,Goodybag 80GB,Europe,UK,80,30,20,https://www.giffgaff.com/sim-only-deals,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only-deals,2026-09-04T00:00:00Z
giffgaff,Goodybag 120GB,Europe,UK,120,30,25,https://www.giffgaff.com/sim-only-deals,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only-deals,2026-09-04T00:00:00Z
giffgaff,Goodybag 200GB,Europe,UK,200,30,35,https://www.giffgaff.com/sim-only-deals,inbound,native,unlimited,unlimited,UK,,,,,https://www.giffgaff.com/sim-only-deals,2026-09-04T00:00:00Z
EE,UK Travel eSIM 1 Day,Europe,UK,unlimited,1,5,https://ee.co.uk/mobile/travel-esim-uk,inbound,none,0,0,,,,,,https://ee.co.uk/mobile/travel-esim-uk,2026-09-04T00:00:00Z
EE,UK Travel eSIM 3 Days,Europe,UK,unlimited,3,10,https://ee.co.uk/mobile/travel-esim-uk,inbound,none,0,0,,,,,,https://ee.co.uk/mobile/travel-esim-uk,2026-09-04T00:00:00Z
EE,UK Travel eSIM 7 Days,Europe,UK,unlimited,7,15,https://ee.co.uk/mobile/travel-esim-uk,inbound,none,0,0,,,,,,https://ee.co.uk/mobile/travel-esim-uk,2026-09-04T00:00:00Z
EE,UK Travel eSIM 14 Days,Europe,UK,unlimited,14,20,https://ee.co.uk/mobile/travel-esim-uk,inbound,none,0,0,,,,,,https://ee.co.uk/mobile/travel-esim-uk,2026-09-04T00:00:00Z
EE,UK Travel eSIM 30 Days,Europe,UK,unlimited,30,30,https://ee.co.uk/mobile/travel-esim-uk,inbound,none,0,0,,,,,,https://ee.co.uk/mobile/travel-esim-uk,2026-09-04T00:00:00Z
EE,UK Travel eSIM 90 Days,Europe,UK,unlimited,90,90,https://ee.co.uk/mobile/travel-esim-uk,inbound,none,0,0,,,,,,https://ee.co.uk/mobile/travel-esim-uk,2026-09-04T00:00:00Z
